"dataset_id","parent_dataset_id","domain","source_url","accessed_at","source_file","source_md5","loader","variable","transform","subset_rule","family_hint","n","skewness","excess_kurtosis","support_sign","theta_star","load_ok","load_error","notes","specialist_id","mode","condition_id","contamination_rate","outlier_scale_mad","contamination_type","m_requested","m_effective","contam_condition","contamination_mode","natural_z_threshold","subsample_R","paired_bootstrap_B","estimator","mean_mse","q95_mse","bias","n_replicates","mean_requested_tail_n","mean_empirical_tail_n","mean_natural_pool_n","mean_natural_body_n","preregistration_version","profile_gate_enabled","profile_gate_policy","benchmark_policy_primary","oracle_audit_secondary_only","paired_ci_policy","strict_ci_contains_point_policy","fdr_policy","output_layout_policy","pareto_tolerance_relative","wins_saturation_cap","futility_stop_enabled","depth_probe_secondary_only"
"UCI_bike_hour_count","UCI_bike_hour_count","mobility_demand","https://archive.ics.uci.edu/ml/machine-learning-databases/00275/Bike-Sharing-Dataset.zip","2026-06-15 19:10:35 -0400","/home/alrier/Documents/Final_Results_15June2026/06_REALWORLD_EXTERNAL_BATTERY_40DATASETS/realworld_battery_40datasets_full_run/99_recovery_logs/downloads/UCI_bike_hour_count.zip","2e92088f4617dfee0ec48a6452a6375a","bike_zip_hour","cnt","raw","full","lognormal",17379,1.27719110269578,1.41594211793267,"strictly_positive",189.463087634501,TRUE,NA,"","TAX-Q1R009","original_regime",17,0.15,9,"clustered_upper",500,500,"0.15|9|clustered_upper","endogenous",3,800,500,"huber_k1.345",175.414769760034,515.719242376076,NA,800,75,75,1495,15884,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_bike_hour_count","UCI_bike_hour_count","mobility_demand","https://archive.ics.uci.edu/ml/machine-learning-databases/00275/Bike-Sharing-Dataset.zip","2026-06-15 19:10:35 -0400","/home/alrier/Documents/Final_Results_15June2026/06_REALWORLD_EXTERNAL_BATTERY_40DATASETS/realworld_battery_40datasets_full_run/99_recovery_logs/downloads/UCI_bike_hour_count.zip","2e92088f4617dfee0ec48a6452a6375a","bike_zip_hour","cnt","raw","full","lognormal",17379,1.27719110269578,1.41594211793267,"strictly_positive",189.463087634501,TRUE,NA,"","TAX-Q1R009","original_regime",29,0.15,9,"clustered_upper",1000,1000,"0.15|9|clustered_upper","endogenous",3,800,500,"huber_k1.345",163.414846659027,388.807390692202,NA,800,150,150,1495,15884,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_bike_hour_count","UCI_bike_hour_count","mobility_demand","https://archive.ics.uci.edu/ml/machine-learning-databases/00275/Bike-Sharing-Dataset.zip","2026-06-15 19:10:35 -0400","/home/alrier/Documents/Final_Results_15June2026/06_REALWORLD_EXTERNAL_BATTERY_40DATASETS/realworld_battery_40datasets_full_run/99_recovery_logs/downloads/UCI_bike_hour_count.zip","2e92088f4617dfee0ec48a6452a6375a","bike_zip_hour","cnt","raw","full","lognormal",17379,1.27719110269578,1.41594211793267,"strictly_positive",189.463087634501,TRUE,NA,"","TAX-Q1R009","original_regime",8,0.2,12,"clustered_upper",300,300,"0.2|12|clustered_upper","endogenous",3,800,500,"huber_k1.345",1593.2749967118,2698.72942270804,NA,800,60,60,1495,15884,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_bike_hour_count","UCI_bike_hour_count","mobility_demand","https://archive.ics.uci.edu/ml/machine-learning-databases/00275/Bike-Sharing-Dataset.zip","2026-06-15 19:10:35 -0400","/home/alrier/Documents/Final_Results_15June2026/06_REALWORLD_EXTERNAL_BATTERY_40DATASETS/realworld_battery_40datasets_full_run/99_recovery_logs/downloads/UCI_bike_hour_count.zip","2e92088f4617dfee0ec48a6452a6375a","bike_zip_hour","cnt","raw","full","lognormal",17379,1.27719110269578,1.41594211793267,"strictly_positive",189.463087634501,TRUE,NA,"","TAX-Q1R009","original_regime",20,0.2,12,"clustered_upper",500,500,"0.2|12|clustered_upper","endogenous",3,800,500,"huber_k1.345",1590.36746251428,2425.49722193345,NA,800,100,100,1495,15884,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_bike_hour_count","UCI_bike_hour_count","mobility_demand","https://archive.ics.uci.edu/ml/machine-learning-databases/00275/Bike-Sharing-Dataset.zip","2026-06-15 19:10:35 -0400","/home/alrier/Documents/Final_Results_15June2026/06_REALWORLD_EXTERNAL_BATTERY_40DATASETS/realworld_battery_40datasets_full_run/99_recovery_logs/downloads/UCI_bike_hour_count.zip","2e92088f4617dfee0ec48a6452a6375a","bike_zip_hour","cnt","raw","full","lognormal",17379,1.27719110269578,1.41594211793267,"strictly_positive",189.463087634501,TRUE,NA,"","TAX-Q1R009","original_regime",32,0.2,12,"clustered_upper",1000,1000,"0.2|12|clustered_upper","endogenous",3,800,500,"huber_k1.345",1576.20171844368,2147.62050891093,NA,800,200,200,1495,15884,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_bike_hour_count","UCI_bike_hour_count","mobility_demand","https://archive.ics.uci.edu/ml/machine-learning-databases/00275/Bike-Sharing-Dataset.zip","2026-06-15 19:10:35 -0400","/home/alrier/Documents/Final_Results_15June2026/06_REALWORLD_EXTERNAL_BATTERY_40DATASETS/realworld_battery_40datasets_full_run/99_recovery_logs/downloads/UCI_bike_hour_count.zip","2e92088f4617dfee0ec48a6452a6375a","bike_zip_hour","cnt","raw","full","lognormal",17379,1.27719110269578,1.41594211793267,"strictly_positive",189.463087634501,TRUE,NA,"","TAX-Q1R009","original_regime",10,0.2,15,"clustered_upper",300,300,"0.2|15|clustered_upper","endogenous",3,800,500,"huber_k1.345",1633.51723558577,2749.2826312254,NA,800,60,60,1495,15884,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_bike_hour_count","UCI_bike_hour_count","mobility_demand","https://archive.ics.uci.edu/ml/machine-learning-databases/00275/Bike-Sharing-Dataset.zip","2026-06-15 19:10:35 -0400","/home/alrier/Documents/Final_Results_15June2026/06_REALWORLD_EXTERNAL_BATTERY_40DATASETS/realworld_battery_40datasets_full_run/99_recovery_logs/downloads/UCI_bike_hour_count.zip","2e92088f4617dfee0ec48a6452a6375a","bike_zip_hour","cnt","raw","full","lognormal",17379,1.27719110269578,1.41594211793267,"strictly_positive",189.463087634501,TRUE,NA,"","TAX-Q1R009","original_regime",22,0.2,15,"clustered_upper",500,500,"0.2|15|clustered_upper","endogenous",3,800,500,"huber_k1.345",1604.781288875,2483.49377048488,NA,800,100,100,1495,15884,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_bike_hour_count","UCI_bike_hour_count","mobility_demand","https://archive.ics.uci.edu/ml/machine-learning-databases/00275/Bike-Sharing-Dataset.zip","2026-06-15 19:10:35 -0400","/home/alrier/Documents/Final_Results_15June2026/06_REALWORLD_EXTERNAL_BATTERY_40DATASETS/realworld_battery_40datasets_full_run/99_recovery_logs/downloads/UCI_bike_hour_count.zip","2e92088f4617dfee0ec48a6452a6375a","bike_zip_hour","cnt","raw","full","lognormal",17379,1.27719110269578,1.41594211793267,"strictly_positive",189.463087634501,TRUE,NA,"","TAX-Q1R009","original_regime",34,0.2,15,"clustered_upper",1000,1000,"0.2|15|clustered_upper","endogenous",3,800,500,"huber_k1.345",1594.41705220682,2182.17895758002,NA,800,200,200,1495,15884,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_bike_hour_count","UCI_bike_hour_count","mobility_demand","https://archive.ics.uci.edu/ml/machine-learning-databases/00275/Bike-Sharing-Dataset.zip","2026-06-15 19:10:35 -0400","/home/alrier/Documents/Final_Results_15June2026/06_REALWORLD_EXTERNAL_BATTERY_40DATASETS/realworld_battery_40datasets_full_run/99_recovery_logs/downloads/UCI_bike_hour_count.zip","2e92088f4617dfee0ec48a6452a6375a","bike_zip_hour","cnt","raw","full","lognormal",17379,1.27719110269578,1.41594211793267,"strictly_positive",189.463087634501,TRUE,NA,"","TAX-Q1R009","original_regime",12,0.2,20,"clustered_upper",300,300,"0.2|20|clustered_upper","endogenous",3,800,500,"huber_k1.345",1628.45385733297,2704.53926402547,NA,800,60,60,1495,15884,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"UCI_bike_hour_count","UCI_bike_hour_count","mobility_demand","https://archive.ics.uci.edu/ml/machine-learning-databases/00275/Bike-Sharing-Dataset.zip","2026-06-15 19:10:35 -0400","/home/alrier/Documents/Final_Results_15June2026/06_REALWORLD_EXTERNAL_BATTERY_40DATASETS/realworld_battery_40datasets_full_run/99_recovery_logs/downloads/UCI_bike_hour_count.zip","2e92088f4617dfee0ec48a6452a6375a","bike_zip_hour","cnt","raw","full","lognormal",17379,1.27719110269578,1.41594211793267,"strictly_positive",189.463087634501,TRUE,NA,"","TAX-Q1R009","original_regime",24,0.2,20,"clustered_upper",500,500,"0.2|20|clustered_upper","endogenous",3,800,500,"huber_k1.345",1580.71034377037,2399.18045543574,NA,800,100,100,1495,15884,"V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
